item,count
Test Preparation Needed?,332
Why Get Tested?,331
Sample Required?,331
What is being tested?,331
When To Get Tested?,328
When is it ordered?,328
What does the test result mean?,328
Is there anything else I should know?,310
How is the test used?,179
How is it used?,147
How is the sample collected for testing?,59
Is any test preparation needed to ensure the quality of the sample?,55
Health Professionals – LOINC,28
See Reference Range,14
How long will it take for results?,14
How long will it take for my results?,7
How long will it take for my results?,7
How long does it take to get results?,3
What other lab tests may be done?,3
What is a direct LDL cholesterol test?,3
What is a direct LDL cholesterol test?,3
How long does it take for results?,3
Overview,3
When to Get Tested?,3
How long will it take to get the results of my test?,3
How long will it take to get the results of my test?,3
Where can I get tested?,3
Should everyone with leukemia be tested?,3
Why do I have to collect my urine for 24 hours?,3
Can I have decreased or abnormal fibrinogen and not know it?,2
Can results of testing be used to determine the course of my cancer?,2
Can results of testing be used to determine the course of my cancer?,2
Can I have more than one cause of hepatitis?,2
Why would a man need a test for FSH and LH? I thought these were female hormones.,2
Can this test be done in my healthcare practitioner's office?,2
When are they ordered?,2
Are these tests always run as a panel?,2
"If I have CAH, or my child does, should my family members be tested?",2
Who needs iron supplements?,2
"If I have CAH, or my child does, should my family members be tested?",2
What is Menkes kinky hair syndrome?,2
Potassium Reference Range,2
"What is the difference between serum/plasma albumin, prealbumin, and urine albumin tests?",2
Can I choose either a blood or a urine B2M test?,2
Can I get antibodies from donating blood?,2
How fast does autoimmune hepatitis progress?,2
How is anaphylaxis treated?,2
Can I have more than one pheochromocytoma at once?,2
What medications can affect thyroid testing?,2
How can my actual GFR be determined?,2
Do healthcare practitioners test thyroid hormones during pregnancy?,2
Would this testing also be performed on a man?,2
What other testing might be done?,2
What causes pancreatic insufficiency?,2
Will my results be accurate if I must continue to take my medication?,2
Are some people at a higher risk for developing a carcinoid tumor?,2
Can this test be performed by my local laboratory?,2
Should everyone have their APOE genotype tested?,2
Can this test be performed by my local laboratory?,2
How serious is myasthenia gravis (MG)?,2
How serious is myasthenia gravis (MG)?,2
Is it really necessary to collect urine for 24 hours?,2
Can MG be inherited?,2
Do I need to have a liver biopsy?,2
Can I have my blood tested instead of having a tissue biopsy?,2
Can MG be inherited?,2
Are there other genetic mutations associated with MPNs?,2
What is rhabdomyolysis?,2
What is Edwards syndrome?,2
Why would my healthcare provider order additional tests?,2
"If I have chest pain, does that mean I am having a heart attack?",2
What else can cause diarrhea?,2
"If I have chest pain, does that mean I am having a heart attack?",2
Is there a reason to test for APOE genotype more than once?,2
Sodium Reference Range,2
What is Down syndrome?,2
What is rhabdomyolysis?,2
Can this test be performed on my blood instead?,2
Can this test be performed on my blood instead?,2
Are there other non-invasive screening tests for these disorders?,2
Should I tell my partner that I have syphilis?,1
Should I tell my partner that I have chlamydia?,1
Should I tell my other healthcare providers that I am taking sirolimus?,1
Should I tell my other healthcare providers about my CYP2C19 test results?,1
Should I tell my other doctors I have von Willebrand disease?,1
Should I tell other doctors about my warfarin sensitivity?,1
Should I tell my partner that I have trichomoniasis?,1
Should I tell my other healthcare providers that I am taking tacrolimus?,1
Should I tell my other healthcare providers that I am taking mycophenolate?,1
,1
Should I tell my healthcare providers that I am taking clopidogrel?,1
Should I get a tuberculosis screening test if I am pregnant?,1
Should everyone with liver damage be tested for liver kidney microsome type 1 antibodies (anti-LKM-1)?,1
Should everyone with lung cancer have ALK mutation testing?,1
Should everyone with muscle pain and weakness have a CK test?,1
Should everyone with muscle pain and weakness have a myoglobin test?,1
Should everyone with suspected tuberculosis have an ADA test performed?,1
Should every pregnant woman have a folate test?,1
Should every pregnant woman have amniotic fluid analysis?,1
Should every woman be treated with antibiotics for GBS during delivery or during pregnancy?,1
Should I ask my healthcare practitioner about having NIPS performed?,1
Should I be concerned if my doctor only orders a total calcium test and not free or ionized calcium?,1
Should I be taking copper supplements or trying to get more copper in my diet?,1
Should I be tested for HTLV-I/II if I have some of the risk factors?,1
Should I eat more protein to make up for lost protein?,1
Should I get a flu shot?,1
Should I get a tuberculosis skin test if I am pregnant?,1
Should I tell my dentist or other healthcare providers about my antithrombin deficiency?,1
Should I get the HBV vaccine?,1
Should I have a PT done at the same time of day?,1
Should I have a test for CA 27.29 in addition to the CA 15-3 test?,1
Should I have both the serotonin and 5-HIAA tests performed?,1
Should my other family members be tested for warfarin sensitivity?,1
"Should I take magnesium supplements? And if so, how much?",1
Should I take mineral supplements?,1
Should I tell all my healthcare providers about being diagnosed with drug-induced lupus?,1
Should I tell all of my doctors if I have CAH?,1
Should I tell all of my doctors that I am taking theophylline?,1
Should I tell all of my healthcare practitioners if I have CAH?,1
Should I tell all of my healthcare practitioners that I have an HIT antibody?,1
Should I tell a new healthcare practitioner that I have antiphospholipid antibodies?,1
Should I tell a new healthcare provider that I have cardiolipin antibodies?,1
Should I just take iron supplements?,1
Tests for Infections,1
Shouldn't someone with a family history of diabetes have a fructosamine test?,1
What are the risk factors for preterm labor and delivery?,1
What are the recommended dietary allowances (RDA) for vitamin A?,1
What are the Recommended Dietary Allowances (RDA) for B vitamins?,1
What are the recommendations for rubella vaccination?,1
What are the reasons to test for a specific HLA gene allele?,1
What are the pros and cons of the TPMT phenotype test and the genotype test?,1
What are the other parts of the innate immune system?,1
What are the main risk factors for pancreatic cancer?,1
What are the long-term consequences of pancreatitis?,1
What are the dietary sources of vitamin A?,1
What are the causes of primary adrenal insufficiency?,1
What are symptoms of low magnesium?,1
What are some types of lab methods used for this testing?,1
What are some traditional tests for respiratory infections?,1
What are some tests that may be done to help decide whether a prostate cancer is likely to be fast-growing and spread (metastasize) and therefore should be removed rather than watched?,1
What are some tests that may be done in follow up?,1
What are some side effects of immunotherapy?,1
What are some serious side effects of levetiracetam?,1
What are the risk factors for liver cancer?,1
What are the treatment options for bacterial infections?,1
Should pregnant women be vaccinated for rubella?,1
What are the usual treatments for diabetes?,1
What can I do to make my creatinine level normal?,1
What can I do to lower or increase leptin levels?,1
What can I do to lower my CRP level?,1
What can I do to lower my apo B?,1
What can I do to increase or decrease bone marker results?,1
What can I do to help prevent formation of a neural tube defect?,1
What can I do to decrease my lactoferrin?,1
What can I do to decrease my calprotectin?,1
What can I do to change my histone antibody level?,1
What can I do to avoid the symptoms of cold agglutinin disease?,1
What can I do to avoid getting a bacterial infection of the digestive tract?,1
What can cause false-positive results in a marijuana test?,1
What can cause a false-positive result?,1
What can cause a false-negative urine hCG?,1
What can be done about post-lumbar puncture pain?,1
What are tumor markers?,1
"What are total testosterone, free testosterone, and bioavailable testosterone?",1
What are some other tests that might be done to detect iron deficiency or iron overload?,1
What are some other tests that may be done when the PSA level is only slightly elevated to help decide whether a prostate cancer is present?,1
What are some other tests that may be done to determine the underlying cause of cryoglobulinemia?,1
What are some other risk factors for ovarian cancer?,1
Visual Exam,1
View Sources,1
View Comprehensive Table of Drugs that May Be Tested,1
Urobilinogen,1
Urine color,1
Urine clarity,1
Tuberculin Skin Test,1
Total Calcium Reference Range,1
"The size of the swelling is measured and used to determine if the TB skin test is positive or negative. Image credit: Gabrielle Beninson, CDC",1
The results of my hepatitis panel came back negative.  What other conditions can cause similar symptoms?,1
The names HTLV and HIV look and sound similar – are these diseases related?,1
Sweat Chloride Sample Collection,1
Specific gravity,1
Sources,1
Size,1
Should someone with a factor V Leiden mutation be on long-term anticoagulant therapy?,1
Should relatives of someone with an inherited protein C or protein S deficiency be tested?,1
WBC Differential Reference Range,1
What are aldosterone stimulation and suppression tests?,1
What are appropriate treatments for the common causes of low potassium (hypokalemia) and high potassium (hyperkalemia)?,1
What are some causes of anemia besides iron deficiency?,1
What are some other details about T cells?,1
What are some other details about B cells?,1
What are some of the specific methods used to analyze kidney stones?,1
What are some good sources of folic acid and vitamins B6 and B12?,1
What are some good dietary sources of potassium?,1
What are some common risk factors for inappropriate blood clotting?,1
What are some common opportunistic infections I might get if I have an HIV infection?,1
What are some additional details on LA testing results?,1
What are Bence Jones proteins?,1
What are phytoestrogens and environmental estrogens?,1
What are my treatment options?,1
What are globulin proteins and how are they measured in blood?,1
What are free light chains and how are they related to immunoglobulins?,1
What are estrogen receptors?,1
"What are congenital (inherited) dysfibrinogenemia, hypofibrinogenemia and afibrinogenemia?",1
What are chronic inflammatory diseases?,1
Should everyone with flu-like symptoms be tested for Legionella?,1
Should everyone have an Lp-PLA2 test?,1
Should everyone with cancer have KRAS mutation testing?,1
Leukocyte esterase,1
I will have several thyroglobulin tests done over time. Why do I need to have them done at the same lab?,1
I was diagnosed with ductal-carcinoma in situ. Will hormone receptor testing be done?,1
I’ve recently been diagnosed with type 2 diabetes. Will I need to monitor my glucose levels every day?,1
I’ve heard some athletes are tested for EPO. Why?,1
"I’ve heard of ""ultrasensitive PSA."" What is it?",1
I’ve heard of Trinder's test for salicylates. What is it?,1
I’ve heard of a stool DNA test for colon cancer screening. What is it?,1
I've had strep throat before and was treated with antibiotics. Can I get it again?,1
I've had pneumonia before and currently have asthma. Why has my doctor never ordered this test for me?,1
Is vitamin D a necessary component of calcium supplements?,1
Is toxoplasmosis treatable?,1
Is toxoplasmosis contagious?,1
Is this the same parvovirus that affects dogs and cats? Can I catch it from my pet?,1
"Is this test used for purposes other than detecting problems with the adrenal gland, ovaries or testicles?",1
Is this test used for other purposes?,1
Is this test recommended for everyone with cancer?,1
Is this test different than a platelet function test?,1
Ketones,1
"Like a flu test or strep test, can this test be performed in my healthcare practitioner's office?",1
Is there treatment for VWD?,1
"Like the rapid strep test, can the anti-DNase B test be performed in my doctor's office?",1
My doctor ordered a stool osmolality test. Why?,1
My doctor instructed me to take my iron supplement and then have an iron test done.  Why would that be?,1
My creatinine result is slightly out of range. What does this mean?,1
My complete blood count (CBC) report includes a result for reticulocyte hemoglobin. What is it?,1
My complete blood count (CBC) report includes a result for immature platelet fraction (IPF). What is it?,1
My complete blood count (CBC) report includes a result for immature granulocytes (IG). What are they?,1
My chloride level is only slightly out of range. What does this mean?,1
My CBC report includes a result for reticulocyte hemoglobin. What is it?,1
My CBC report includes a result for immature platelet fraction (IPF). What is it?,1
My CBC report includes a result for immature granulocytes (IG). What are they?,1
My BUN result is slightly out of range. What does this mean?,1
My bicarbonate level is only slightly out of range. What does this mean?,1
"My allergy test was negative, but I continue to have symptoms. What else could it be?",1
My allergy symptoms are generally mild. How serious is this really?,1
Monocytes,1
Microscopic Exam,1
Lymphocytes,1
Is the time of day a factor when collecting a urine sample?,1
Is there treatment available for lactose intolerance?,1
My doctor ordered more blood cultures after the initial cultures were drawn. Why?,1
Is there anything I can do to prevent getting AChR binding antibodies?,1
Is there anything I can do to lower my LD?,1
Is there anything I can do to lower my IgE level?,1
Is there anything I can do to lower my CK level?,1
Is there anything I can do to increase protein C and protein S levels?,1
Is there anything I can do to get rid of the alcohol in my system faster?,1
Is there anything I can do to get rid of lupus anticoagulant?,1
Is there anything I can do to decrease my lactate level?,1
Is there anything I can do to decrease my anticentromere antibody level?,1
Is there anything I can do to affect my anti-dsDNA level?,1
Is there any reason to repeat a <em>JAK2</em> mutation test?,1
Is there any other way to measure my oxygen levels?,1
Is there a home test I can use to check my potassium level?,1
Is there a home test for LH?,1
Is there a home test for hemoglobin A1c?,1
Is there a home test for FSH?,1
Is there a home test for albumin levels?,1
Is there a blood test for RSV?,1
Is there anything I can do to prevent albuminuria (microalbuminuria)?,1
Is there anything I can do to prevent getting MuSK binding antibodies?,1
Is there something I can do to get rid of my cryoglobulins?,1
Is there anything I can do to prevent or get rid of antiphospholipid antibodies?,1
Is there something I can do to alter my immunoglobulin levels?,1
Is there a way to prevent viral hepatitis?,1
Is there a way to prevent hepatitis A?,1
Is there a way to naturally increase my testosterone?,1
Is there a vaccine like the flu shot to prevent RSV?,1
Is there a vaccine for West Nile virus (WNV)?,1
Is there a urine test for bilirubin?,1
Is there a treatment for low EPO?,1
"Is there a reason to test a ""peak"" sample when my TNF inhibitor should be at its highest level, or a random sample (neither peak nor trough)?",1
Is there a reason to repeat a xylose test?,1
"Is there a reason to choose one type of sample (blood, bone marrow, or tissue) over another for testing?",1
Is there any way to prevent getting CMV?,1
Is there any way to prevent getting a parvovirus B19 infection?,1
Is there any way to prevent a pheochromocytoma from forming?,1
Is there any way to lower my Lp(a)?,1
Is there any way to cure iron overload?,1
Is there anything I can do to raise or lower my thyroglobulin level?,1
My doctor ordered a test for albumin-corrected calcium. What is it?,1
"My doctor ordered only a 4-test ENA panel, not a 6-test ENA panel.  Will something be missed?",1
Should everyone who takes aspirin regularly have a salicylate test performed?,1
Should everyone be tested for <em>H. pylori</em>?,1
Should everyone be tested for CCP antibody?,1
Should everyone be tested for arboviruses?,1
Should everyone be tested for antiphospholipid antibodies?,1
Should both a lactoferrin and a calprotectin test be done?,1
Should athletes and others pay particular attention to re-hydrating after playing sports or exercising to keep their sodium levels up?,1
Should all antibiotic therapy be monitored like aminoglycosides?,1
Shape,1
See Reference Ranges,1
Sample required?,1
Reticulocyte Count Reference Range,1
Red blood cells (RBCs),1
Red Blood Cell (RBC) Tests,1
Red Blood Cell Count Reference Range,1
Protein,1
Platelet Tests,1
Platelet Count Reference Range,1
pH,1
Should everyone be tested for CYP2C19 gene variations?,1
Should everyone be tested for HTLV-I/II?,1
"Other than stool tests, are there other ways of screening for colon cancer?",1
Should everyone be tested for measles and mumps immunity?,1
Should everyone who is overweight have a leptin test performed?,1
Should everyone have vitamin B12 and folate tests?,1
Should everyone have this testing done?,1
Should everyone have their levels of trace minerals tested?,1
Should everyone have their B vitamin levels checked?,1
Should everyone have platelet function tests?,1
Should everyone have lactose tolerance testing?,1
Should everyone have bone marker testing performed?,1
Should everyone have a ZPP test?,1
Should everyone have a serum free light chain test?,1
Should everyone have a parietal cell antibody test?,1
Should everyone have an RBC antibody screen performed?,1
What can I do to prevent the spread of strep throat?,1
Should everyone have an Lp(a) test done?,1
Should everyone have an intrinsic factor antibody test?,1
Should everyone have an HLA-B27 test done?,1
Should everyone be tested for toxoplasmosis?,1
"Other than stool tests, are there other ways to screen for colon cancer?",1
"Other than organ and tissue compatibility testing, what else is HLA gene and antigen testing used for?",1
My doctor said I have <em>Bordetella parapertussis</em>. Is this the same as whooping cough?,1
My RBC count is slightly out of range. What does this mean?,1
My potassium level is only slightly out of range. What does this mean?,1
My platelet count is low. How can I increase it?,1
My newborn had a TSH test done. Why?,1
My newborn had an MMA test done. Why?,1
My newborn had an immunoglobulin test. Why?,1
My newborn had a homocysteine test done. Why?,1
My newborn had a free T4 test. Why?,1
My mother was diagnosed as having porphyria many years ago but has not had any symptoms since then. Why is this?,1
My lab report includes a cholesterol ratio. What is it?,1
"My iron level is normal, but my ferritin level is low. Why is that?",1
"My healthcare practitioner's office called to say they need a new urine sample, the first was contaminated. What happened?",1
My healthcare practitioner says my viral load is too low for drug resistance testing. Why?,1
My healthcare practitioner said I had symptoms of a urinary tract infection and prescribed antibiotics without performing a urine culture. Why?,1
My healthcare practitioner ordered a test for thiopurine metabolites. What is it and how is it related to TPMT testing?,1
My father has been diagnosed with probable late onset Alzheimer disease and his APOE genotype test is negative for e4 alleles. Should his doctor be doing other genetic testing?,1
My father has been diagnosed with early onset Alzheimer disease. Can my doctor tell if my father has a genetic mutation without a blood test?,1
My doctor told me that my extra ACTH is not produced in my pituitary gland. What is going on?,1
"My PT/INR results vary sometimes, yet my doctor doesn’t change my prescription. Why?",1
My report includes an M/E ratio. What is it?,1
One of the results from my renal panel is slightly out of range. What does this mean?,1
My report includes mean platelet volume (MPV) and platelet distribution width (PDW). What are they?,1
One of the results from my electrolyte panel is slightly out of range. What does this mean?,1
One of the results from my BMP is slightly out of range. What does this mean?,1
"Once I've had a pathogenic bacterial infection, can I be re-infected?",1
"Once I've had a parasitic infection, can I be re-infected?",1
"Once I've had a <em>C. difficile</em> infection, can I be re-infected?",1
"Once I have had a <em>Toxoplasma gondii</em> infection, can I get infected again?",1
"Once I have gestational diabetes, will I continue to have diabetes after delivery?",1
"Once I have developed TNF inhibitor antibodies, will they go away?",1
"Once I have been treated for a bacterial lower respiratory tract infection, can the infection return?",1
"Once I have been treated, can my infection return?",1
"Once I have been treated and/or recovered from hepatitis C, can I get infected again?",1
Nitrite,1
Neutrophils,1
"My uric acid level is high, but I don't have gout. What does this mean?",1
My sodium level is only slightly out of range. What does this mean?,1
"My report mentions ""giant platelets."" What are they?",1
"My report mentions a ""left shift."" What does this mean?",1
What can I do to prevent a kidney stone and prevent recurrence?,1
What does the test result mean (adults)?,1
What can I do to protect against arboviruses?,1
Who orders lithium tests?,1
Why does my doctor want me to go to the same laboratory each time I have my HIV viral load tested?,1
Why does it need to be a fresh stool sample?,1
Why does insulin have to be injected?,1
Why didn't my healthcare practitioner check my thyroglobulin level before removing my thyroid?,1
Why did my doctor report my child's whooping cough?,1
"Why did I get sick eating something when I travelled internationally, but the locals who ate the same thing did not get sick?",1
Why can blood culture results take so long?,1
Why are some inherited bleeding disorders more severe than others?,1
Why aren't antibiotics a recommended treatment for an infection with Shiga toxin-producing E. coli ?,1
Why are my A1c and blood glucose different?,1
"Why are factors such as age, sex, and race used in eGFR calculations?",1
Why are aminoglycosides used at all if they can cause permanent hearing loss?,1
Who should take iron supplements?,1
Who performs MTHFR testing?,1
Who performs arbovirus testing?,1
Who performs a kidney stone analysis?,1
Who orders tacrolimus tests?,1
Why does my doctor want to know all of the medications and supplements I am taking?,1
Why does my doctor want to send a second sTfR test to the same laboratory as the first test?,1
Why does my lab report also list carboxyhemoglobin? What is it?,1
Why is having syphilis a problem during pregnancy?,1
Why is my healthcare provider testing me for 21-hydroxylase autoantibodies and/or adrenal cytoplasmic autoantibodies?,1
Why is my healthcare provider asking me to take my TB medication in the presence of a nurse?,1
Why is my healthcare practitioner not screening me for CA 19-9?,1
Why is my family history important?,1
"Why is mono sometimes called ""the kissing disease""?",1
Why is it important to have my blood drawn for my digoxin test at a certain time?,1
Why is it called Legionnaires disease?,1
Why is every newborn screened for hemoglobinopathies?,1
Why doesn't a drug screen measure all drugs?,1
Why haven't I heard about mycoplasmas?,1
Why hasn't the automated blood cell counter totally replaced the blood smear?,1
Why get tested?,1
Why do I need to avoid live vaccines while I am taking methotrexate?,1
Why do I need a spinal tap? Why can't my blood or urine be tested?,1
Why does the karyotype take several days to perform?,1
Why does the healthcare practitioner need a 24-hour urine sample if a random sample has already been tested?,1
Who orders sirolimus tests?,1
Who orders digoxin tests?,1
What other tests might my healthcare provider recommend if my child has CF?,1
Who orders cyclosporine tests?,1
What type of nutrition is recommended for optimal protein levels?,1
What treatments are recommended if I have unhealthy lipid levels?,1
What treatments are recommended for low HDL-C levels?,1
What treatments are recommended for high non-HDL-C levels?,1
What treatments are recommended for high LDL-C levels?,1
What treatment is prescribed for abnormal chloride levels?,1
What tests may be done in follow up to an abnormal liver panel to help determine the cause of liver injury?,1
What tests are usually done to evaluate a person for Alzheimer disease?,1
What strategies can be used to lower triglyceride levels?,1
What steps should a pregnant woman (or anyone else) take to prevent toxoplasmosis infection?,1
What signs and symptoms are seen with excess GH and IGF-1 production?,1
What signs and symptoms are seen with deficient GH and IGF-1?,1
What should I do if I forget to save one urine sample during the collection?,1
What should I ask my healthcare practitioner before taking prescription opioids?,1
What puts me at risk for recurrent urinary tract infections?,1
What proportion of infertility cases are caused by male fertility problems?,1
"What products in the U.S. still contain lead, besides paint and ceramics?",1
What type of testing is used to confirm infection with these microorganisms?,1
What types of fish have higher levels of mercury?,1
What types of infections can lead to sepsis?,1
White Blood Cell Count Reference Range,1
Who is at risk of sepsis?,1
Who is at risk for sickle cell disease?,1
Who is at risk for liver disease and/or damage?,1
Who is at risk for antiphospholipid syndrome?,1
Who are universal blood donors and recipients?,1
White Blood Cell (WBC) Tests,1
White blood cells (WBCs),1
Where are sirolimus tests performed?,1
When can my child go back to school?,1
Where are mycophenolic acid tests performed?,1
When to get tested?,1
"When my increased ammonia level has returned to normal, can it rise again?",1
When is the pertussis vaccine given?,1
When is a blood hCG test ordered instead of a urine hCG?,1
"When I look on the Internet for information about safe and unsafe drugs, different sites use different classifications and the lists are not the same. Why is this?",1
When do people typically get measles and mumps vaccinations?,1
Why is my travel history important to my healthcare practitioner?,1
Why isn't a Gram stain performed on all samples sent for culture?,1
Why isn’t CA-125 used to screen for ovarian cancer?,1
Why isn’t calcitonin testing performed as a routine screen?,1
Will I need to have this test done more than once?,1
