title,text
1-day__uses,Tioconazole is an antifungal medication that fights infections caused by fungus
1-day__uses,1-Day (for use in the vagina) is used to treat vaginal Candida (yeast) infections
1-day__uses,1-Day may also be used for other purposes not listed in this medication guide
1-day__warnings,"Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use"
1-day__dosage,"Use exactly as directed on the label, or as prescribed by your doctor. Do not use in larger or smaller amounts or for longer than recommended"
1-day__dosage,Do not take 1-Day by mouth. It is for use only in your vagina
1-day__dosage,This medication comes with patient instructions for safe and effective use. Follow these directions carefully. Ask your doctor or pharmacist if you have any questions
1-day__dosage,This medicine is usually given as a single dose. You should notice some improvement in your symptoms after the 1-day treatment. It may take up to 7 days after using the 1-day dose before your symptoms go away completely
1-day__dosage,"Call your doctor if your symptoms do not improve after 3 days, or if you still have symptoms for longer than 7 days. Frequent vaginal yeast infections that do not clear up with treatment may be a sign of a more serious condition"
1-day__dosage,"The single-use applicator is for one use only. Throw the applicator away after one use, even if there is still some medicine left in it after inserting your dose"
1-day__dosage,"1-Day contains mineral oil or petrolatum, which can weaken the latex rubber in a condom or diaphragm. These forms of birth control may be less effective if you use them during your treatment with this medicine. Use another form of birth control while you are using tioconazole and for at least 3 full days after your treatment ends"
1-day__dosage,Store at room temperature away from moisture and heat. Do not warm the medicine applicator before using 1-Day
1-day__what-to-avoid,"Avoid wearing tight-fitting, synthetic clothing such as nylon underwear or panty hose that does not allow air circulation. Wear loose-fitting clothing made of cotton and other natural fibers until your infection is healed"
1-day__what-to-avoid,"Do not use a tampon, vaginal douche, spermicide, or other vaginal products while you are using 1-Day. Do not have vaginal intercourse during treatment"
1-day__side-effects,"Get emergency medical help if you have any of these signs of an allergic reaction: hives; difficult breathing; swelling of your face, lips, tongue, or throat"
1-day__side-effects,Call your doctor at once if you have new or worsening vaginal symptoms
1-day__side-effects,"Common side effects may include:


vaginal redness or swelling;


mild stomach pain;


pain or burning when you urinate;


headache, runny or stuffy nose; or


mild vaginal burning, itching or irritation after use"
1-day__side-effects,"

This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088"
1-day__interactions,"It is not likely that other drugs you take orally or inject will have an effect on tioconazole used in the vagina. But many drugs can interact with each other. Tell each of your healthcare providers about all medicines you use, including prescription and over-the-counter medicines, vitamins, and herbal products"
12-hour-nasal__uses,Oxymetazoline is a decongestant that shrinks blood vessels in the nasal passages. Dilated blood vessels can cause nasal congestion (stuffy nose)
12-hour-nasal__uses,12 Hour Nasal (for the nose) is for temporary relief of nasal congestion (stuffy nose) caused by allergies or the common cold
12-hour-nasal__uses,12 Hour Nasal may also be used for purposes not listed in this medication guide
12-hour-nasal__warnings,12 Hour Nasal (for the nose) is used for temporary relief of nasal congestion caused by allergies or the common cold
12-hour-nasal__warnings,"Stop using  12 Hour Nasal and call your doctor at once if you have ongoing or worsening symptoms, or if you have severe burning or stinging in your nose after using the nasal spray
"
12-hour-nasal__dosage,"Use exactly as directed on the label, or as prescribed by your doctor. Do not use in larger or smaller amounts or for longer than recommended"
12-hour-nasal__dosage,Using the medication too long or too often may worsen your symptoms or cause nasal congestion to clear up and come back
12-hour-nasal__dosage,Call your doctor if your symptoms do not improve after 3 days of treatment
12-hour-nasal__dosage,"Do not share this medication with another person, even if they have the same symptoms you have. Sharing a nasal spray bottle can spread infection"
12-hour-nasal__dosage,"To use the nose drops (nasal solution):


Blow your nose gently. Tilt your head back as far as possible, or lie down and hang your head over the side of a bed. Hold the dropper over your nose and place the correct number of drops into your nose"
12-hour-nasal__dosage,"

Sit up and bend your head slightly forward, then move it gently left and right. Stay seated with your head bent forward for a few minutes"
12-hour-nasal__dosage,"

Avoid sneezing or blowing your nose for at least a few minutes after using the nose drops"
12-hour-nasal__dosage,"

To use the nasal spray:


Blow your nose gently. Keep your head upright and insert the tip of bottle into one nostril. Press your other nostril closed with your finger. Breathe in quickly and gently spray the medicine into your nose. Then use the spray in your other nostril"
12-hour-nasal__dosage,"

Do not blow your nose for at least a few minutes after using the nasal spray"
12-hour-nasal__dosage,"

Do not use the nasal spray more than 2 times in 24 hours"
12-hour-nasal__dosage,Wipe the tip of the spray bottle with a clean tissue but do not wash with water or soap
12-hour-nasal__dosage,Store at room temperature away from moisture and heat. Do not freeze. Keep the bottle tightly closed when not in use
12-hour-nasal__what-to-avoid,"Follow your doctor's instructions about any restrictions on food, beverages, or activity"
12-hour-nasal__side-effects,"Get emergency medical help if you have any of these signs of an allergic reaction: hives; difficult breathing; swelling of your face, lips, tongue, or throat"
12-hour-nasal__side-effects,"Stop using 12 Hour Nasal and call your doctor at once if you have:


ongoing or worsening symptoms;


severe burning or stinging in your nose after using the nasal spray;


chest pain, fast or uneven heart rate; or


severe headache, buzzing in your ears, anxiety, confusion, or feeling short of breath"
12-hour-nasal__side-effects,"

Common side effects may include:


mild burning or stinging of the nose;


sneezing; or


runny nose"
12-hour-nasal__side-effects,"

This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088"
12-hour-nasal__interactions,"Ask a doctor or pharmacist if it is safe for you to use 12 Hour Nasal if you are also using any of the following drugs:


an antidepressant--amitriptyline, clomipramine, desipramine, doxepin, imipramine, nortriptyline;


ergot medicine--ergotamine, dihydroergotamine, ergonovine, methylergonovine; or


an MAO inhibitor--isocarboxazid, linezolid, phenelzine, rasagiline, selegiline, tranylcypromine"
12-hour-nasal__interactions,"

This list is not complete and other drugs may interact with 12 Hour Nasal. Tell your doctor about all medications you use. This includes prescription, over-the-counter, vitamin, and herbal products. Do not start a new medication without telling your doctor"
3m-skin-and-nasal-antiseptic__uses,There are many brands and forms of povidone iodine topical available. Not all brands are listed on this leaflet
3m-skin-and-nasal-antiseptic__uses,"3M Skin and Nasal Antiseptic is used on the skin to treat or prevent skin infection in minor cuts, scrapes, or burns.  3M Skin and Nasal Antiseptic is also used in a medical setting to help prevent infection and promote healing in skin wounds, pressure sores, or surgical incisions"
3m-skin-and-nasal-antiseptic__uses,"Some forms of povidone iodine topical are used inside the mouth to provide temporary relief of minor mouth pain or irritation, sore throat, or canker sore pain"
3m-skin-and-nasal-antiseptic__uses,3M Skin and Nasal Antiseptic may also be used for purposes not listed in this medication guide
3m-skin-and-nasal-antiseptic__warnings,"Use exactly as directed on the label, or as prescribed by your doctor"
3m-skin-and-nasal-antiseptic__what-to-avoid,"Do not get  3M Skin and Nasal Antiseptic in your eyes. If contact does occur, rinse with water. Seek medical advice if you have ongoing eye irritation"
3m-skin-and-nasal-antiseptic__side-effects,"Get emergency medical help if you have signs of an allergic reaction: hives; difficult breathing; swelling of your face, lips, tongue, or throat"
3m-skin-and-nasal-antiseptic__side-effects,"Stop using this medicine and call your doctor at once if you have:


swelling, pain, warmth, redness, oozing, or other signs of infection;


blistering or crusting; or


severe irritation, itching, or burning"
3m-skin-and-nasal-antiseptic__side-effects,"

This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088"
3m-skin-and-nasal-antiseptic__interactions,"Medicine used on the skin is not likely to be affected by other drugs you use. But many drugs can interact with each other. Tell each of your healthcare providers about all medicines you use, including prescription and over-the-counter medicines, vitamins, and herbal products"
4-way__uses,Phenylephrine is a decongestant that shrinks blood vessels in the nasal passages. Dilated blood vessels can cause nasal congestion (stuffy nose)
4-way__uses,"4-Way is used to treat nasal congestion and sinus pressure caused by allergies, the common cold, or the flu. Phenylephrine may be used to treat congestion of the tubes that drain fluid from your inner ears, called the eustachian (yoo-STAY-shun) tubes"
4-way__uses,4-Way may also be used for purposes not listed in this medication guide
4-way__warnings,"Do not use  4-Way if you have used an MAO inhibitor in the past 14 days, such as isocarboxazid, linezolid, methylene blue injection, phenelzine, rasagiline, selegiline, or tranylcypromine"
4-way__dosage,"Use exactly as directed on the label, or as prescribed by your doctor. Do not use in larger or smaller amounts or for longer than recommended. Cold medicine should be used only for a short time until your symptoms clear up"
4-way__dosage,Do not give  4-Way to a child younger than 4 years old. Always ask a doctor before giving a cough or cold medicine to a child. Death can occur from the misuse of cough and cold medicines in very young children
4-way__dosage,4-Way is usually used every 4 hours. Follow the directions on the medicine label. Never use more of this medicine than directed on the label or prescribed by your doctor. Using this medicine too long can damage the lining of your nasal passages and lead to chronic nasal congestion
4-way__dosage,"To use the nasal spray:


Blow your nose gently. Keep your head upright and insert the tip of the bottle into one nostril. Press your other nostril closed with your finger. Breathe in quickly and gently spray the medicine into your nose. Then use the spray in your other nostril"
4-way__dosage,"

Do not blow your nose for at least a few minutes after using the nasal spray"
4-way__dosage,"

If the spray gets in your eyes or mouth or on your skin, rinse with water"
4-way__dosage,"

If the nasal spray has not been used for longer than 24 hours, prime it by spraying 1 or 2 times into a tissue"
4-way__dosage,"

After each use, clean the tip of the spray bottle with a clean tissue or rinse it with hot water, making sure that no water gets into the medicine bottle. Keep the cap on the bottle when not in use"
4-way__dosage,"To use the nasal drops, lie on your back with your head tilted back. Insert the correct number of drops and remain lying in this position for several minutes. Gently turn your head from side to side"
4-way__dosage,"To prevent the spread of infection, do not share 4-Way with anyone else"
4-way__dosage,"Call your doctor if your symptoms do not improve after 3 days of treatment, or if you have a fever with a headache, cough, or skin rash"
4-way__dosage,"If you need surgery, tell the surgeon ahead of time that you are using 4-Way. You may need to stop using the medicine for a short time"
4-way__dosage,Store at room temperature away from moisture and heat
4-way__what-to-avoid,Avoid getting  4-Way in your eyes
4-way__what-to-avoid,"Ask a doctor or pharmacist before using any other cold, cough, or allergy medicine. Many combination medicines contain pseudoephedrine. Taking certain products together can cause you to get too much of this medicine"
4-way__side-effects,"Get emergency medical help if you have signs of an allergic reaction: hives; difficulty breathing; swelling of your face, lips, tongue, or throat"
4-way__side-effects,"Stop using 4-Way and call your doctor at once if you have:


severe sneezing, runny or stuffy nose, redness or swelling in your nose, or other worsening nasal symptoms (may be a sign of overuse of 4-Way);


severe stinging, burning, or irritation inside your nose;


severe dizziness, restless feeling, nervousness, or insomnia;


mood changes, unusual thoughts or behavior;


tremors or shaking; or


little or no urination"
4-way__side-effects,"

Side effects may be more likely in older adults"
4-way__side-effects,"Common side effects may include:


temporary sneezing;


mild burning, dryness, cold feeling, or irritation inside your nose;


headache, dizziness, weakness;


feeling excited or restless (especially in children); or


mild sleep problems"
4-way__side-effects,"

This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088"
4-way__interactions,"Ask a doctor or pharmacist before using  4-Way if you are also using any other drugs, including prescription and over-the-counter medicines, vitamins, and herbal products. Some medicines can cause unwanted or dangerous effects when used together. Not all possible interactions are listed in this medication guide"
4-way__interactions,"Ask a doctor or pharmacist if it is safe for you to use 4-Way if you are also using any of the following drugs:


other decongestants;


an antidepressant;


blood pressure medication; or


diabetes medication"
4-way__interactions,"

This list is not complete. Other drugs may interact with phenylephrine nasal, including prescription and over-the-counter medicines, vitamins, and herbal products. Not all possible interactions are listed in this medication guide"
5-htp__uses,"5-HTP, also known as 5-HTP, is a dietary supplement made from the seeds of the African plant Griffonia simplicifolia"
5-htp__uses,5-HTP has been used in alternative medicine as a possibly effective aid in treating depression or fibromyalgia
5-htp__uses,"Other uses not proven with research have included insomnia, alcohol withdrawal, headaches, premenstrual syndrome, binge-eating related to obesity, attention deficit disorder, and muscle spasms in the mouth"
5-htp__uses,It is not certain whether 5-HTP is effective in treating any medical condition. Medicinal use of this product has not been approved by the FDA. This medicine should not be used in place of medication prescribed for you by your doctor
5-htp__uses,5-HTP is often sold as an herbal supplement. There are no regulated manufacturing standards in place for many herbal compounds and some marketed supplements have been found to be contaminated with toxic metals or other drugs. Herbal/health supplements should be purchased from a reliable source to minimize the risk of contamination
5-htp__uses,5-HTP may also be used for purposes not listed in this product guide
5-htp__warnings,"Follow all directions on the product label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use"
5-htp__what-to-avoid,"Avoid using 5-HTP with other herbal/health supplements that can cause drowsiness. This includes California poppy, catnip, chamomile, gotu kola, Jamaican dogwood, kava, melatonin, St. John's wort, skullcap (or scullcap), valerian, yerba mansa, and others"
5-htp__side-effects,"Get emergency medical help if you have any of these signs of an allergic reaction: hives; difficult breathing; swelling of your face, lips, tongue, or throat"
5-htp__side-effects,"Although not all side effects are known, 5-HTP is thought to be possibly safe when taken for a short period of time"
5-htp__side-effects,"Stop using 5-HTP and call your doctor at once if you have:


severe tingling or numbness;


skin rash, bruising, fever; or


muscle pain or weakness"
5-htp__side-effects,"

Common side effects may include:


drowsiness;


nausea, vomiting, stomach pain, heartburn;


diarrhea; or


loss of interest in sex"
5-htp__side-effects,"

This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088"
5-htp__interactions,"Taking this product with any medicine that makes you sleepy can worsen this effect. Ask your doctor before taking 5-HTP with a sleeping pill, narcotic pain medicine, muscle relaxer, or medicine for anxiety, depression, or seizures"
5-htp__interactions,"Do not take 5-HTP without medical advice if you are using any of the following medications:


an antidepressant;


carbidopa;


narcotic medicine; or


cough medicine that contains dextromethorphan (DM)"
5-htp__interactions,"

This list is not complete. Other drugs may interact with 5-hydroxytryptophan, including prescription and over-the-counter medicines, vitamins, and herbal products. Not all possible interactions are listed in this product guide"
5-hydroxytryptophan__uses,"5-hydroxytryptophan, also known as 5-HTP, is a dietary supplement made from the seeds of the African plant Griffonia simplicifolia"
5-hydroxytryptophan__uses,5-hydroxytryptophan has been used in alternative medicine as a possibly effective aid in treating depression or fibromyalgia
5-hydroxytryptophan__uses,"Other uses not proven with research have included insomnia, alcohol withdrawal, headaches, premenstrual syndrome, binge-eating related to obesity, attention deficit disorder, and muscle spasms in the mouth"
5-hydroxytryptophan__uses,It is not certain whether 5-hydroxytryptophan is effective in treating any medical condition. Medicinal use of this product has not been approved by the FDA. 5-hydroxytryptophan should not be used in place of medication prescribed for you by your doctor
